ID,Date,Open,High,Low,Close,Volume,Complete,Created_at,Updated_at
80198,"2024-04-23 04:13:00",154.828,154.841,154.828,154.84,32,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80199,"2024-04-23 04:14:00",154.84,154.842,154.838,154.84,16,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80200,"2024-04-23 04:15:00",154.84,154.842,154.838,154.838,23,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80201,"2024-04-23 04:16:00",154.838,154.842,154.838,154.842,10,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80202,"2024-04-23 04:17:00",154.842,154.847,154.842,154.846,17,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80203,"2024-04-23 04:18:00",154.846,154.846,154.839,154.839,42,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80204,"2024-04-23 04:19:00",154.839,154.842,154.839,154.84,11,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80205,"2024-04-23 04:20:00",154.84,154.847,154.835,154.836,32,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80206,"2024-04-23 04:21:00",154.836,154.836,154.832,154.834,10,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80207,"2024-04-23 04:22:00",154.834,154.836,154.834,154.836,6,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80208,"2024-04-23 04:23:00",154.836,154.84,154.836,154.838,19,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80209,"2024-04-23 04:24:00",154.838,154.84,154.836,154.836,8,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80210,"2024-04-23 04:25:00",154.836,154.838,154.836,154.838,10,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80211,"2024-04-23 04:26:00",154.838,154.838,154.836,154.837,15,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80212,"2024-04-23 04:27:00",154.837,154.84,154.836,154.839,29,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80213,"2024-04-23 04:28:00",154.839,154.839,154.836,154.838,7,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80214,"2024-04-23 04:29:00",154.838,154.84,154.838,154.84,7,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80215,"2024-04-23 04:31:00",154.838,154.839,154.836,154.839,14,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80216,"2024-04-23 04:32:00",154.839,154.839,154.829,154.83,22,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80217,"2024-04-23 04:33:00",154.83,154.834,154.828,154.832,75,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80218,"2024-04-23 04:34:00",154.832,154.834,154.826,154.826,34,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80219,"2024-04-23 04:35:00",154.826,154.828,154.824,154.824,23,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80220,"2024-04-23 04:36:00",154.824,154.826,154.824,154.826,39,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80221,"2024-04-23 04:37:00",154.826,154.828,154.824,154.825,22,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80222,"2024-04-23 04:38:00",154.825,154.828,154.824,154.828,11,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80223,"2024-04-23 04:39:00",154.828,154.828,154.826,154.826,16,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80224,"2024-04-23 04:40:00",154.826,154.827,154.822,154.824,17,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
